0 4 8
0 1 3
1 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
2 2 3
